run:
The Start time is: 02.11.2017 - 00:09:58 and  229ms
### Start ###
Eingabe Plaintext: 	 {p1 =  9, p2 = 20}
Ciphertext: 		 {p1 = 25, p2 = 11}

Schlüssel # 43 gefunden: {a11 =  1, a12 = 19, a21 = 17, a22 =  2}, Determinante: -321 =  17 (mod 26), Invertierbar:  true
Schlüssel # 44 gefunden: {a11 =  1, a12 = 19, a21 = 17, a22 = 15}, Determinante: -308 =   4 (mod 26), Invertierbar: false
Schlüssel # 45 gefunden: {a11 =  1, a12 = 19, a21 = 19, a22 =  5}, Determinante: -356 =   8 (mod 26), Invertierbar: false
Schlüssel # 46 gefunden: {a11 =  1, a12 = 19, a21 = 19, a22 = 18}, Determinante: -343 =  21 (mod 26), Invertierbar:  true
Schlüssel # 47 gefunden: {a11 =  1, a12 = 19, a21 = 21, a22 =  8}, Determinante: -391 =  25 (mod 26), Invertierbar:  true
Schlüssel # 48 gefunden: {a11 =  1, a12 = 19, a21 = 21, a22 = 21}, Determinante: -378 =  12 (mod 26), Invertierbar: false
Schlüssel # 49 gefunden: {a11 =  1, a12 = 19, a21 = 23, a22 = 11}, Determinante: -426 =  16 (mod 26), Invertierbar: false
Schlüssel # 50 gefunden: {a11 =  1, a12 = 19, a21 = 23, a22 = 24}, Determinante: -413 =   3 (mod 26), Invertierbar:  true
Schlüssel # 51 gefunden: {a11 =  1, a12 = 19, a21 = 25, a22 =  1}, Determinante: -474 =  20 (mod 26), Invertierbar: false
Schlüssel # 52 gefunden: {a11 =  1, a12 = 19, a21 = 25, a22 = 14}, Determinante: -461 =   7 (mod 26), Invertierbar:  true
Schlüssel # 53 gefunden: {a11 =  3, a12 =  9, a21 =  1, a22 =  4}, Determinante:    3 =   3 (mod 26), Invertierbar:  true
Schlüssel # 54 gefunden: {a11 =  3, a12 =  9, a21 =  1, a22 = 17}, Determinante:   42 =  16 (mod 26), Invertierbar: false
Schlüssel # 55 gefunden: {a11 =  3, a12 =  9, a21 =  3, a22 =  7}, Determinante:   -6 =  20 (mod 26), Invertierbar: false
